model,sequence_length,final_train_loss,final_val_loss,final_val_accuracy,training_time_sec,parameters,model_size_mb,approx_complexity
RNN,10,0.5802935967842738,0.8224347670873006,75.45073375262055,1.2402992248535156,33517,0.12785720825195312,245760
LSTM,10,0.5215262487530709,0.7463293313980103,77.06498951781971,1.376023292541504,108013,0.4120368957519531,983040
GRU,10,0.5249113877614339,0.7597955425580343,76.45702306079664,1.302736520767212,83181,0.3173103332519531,737280
RNN,20,0.3142198517918587,0.4569850424925486,86.46315789473684,1.24037766456604,33517,0.12785720825195312,491520
LSTM,20,0.27819671034812926,0.40425216952959697,87.33684210526316,1.3905701637268066,108013,0.4120368957519531,1966080
GRU,20,0.27553779383500415,0.40569775700569155,87.3578947368421,1.3086521625518799,83181,0.3173103332519531,1474560
RNN,30,0.22587157587210338,0.3064492344856262,90.84566596194503,1.2297136783599854,33517,0.12785720825195312,737280
LSTM,30,0.19263080606857935,0.2704878757397334,91.55038759689923,1.4033057689666748,108013,0.4120368957519531,2949120
GRU,30,0.19121088311076165,0.27716355919837954,91.67019027484143,1.3127810955047607,83181,0.3173103332519531,2211840
